code,climate_station,climate_zone,Story,ssp1_1945,ssp1_1950,ssp1_1960,ssp1_1970,ssp1_1980,ssp1_1990,ssp1_2005,ssp1_2010,ssp1_2012,ssp1_2018,ssp2_1945,ssp2_2010,ssp2_2018,ssp5_1945,ssp5_2010,ssp5_2018,hvac_type,heating_start,heating_end,cooling_start,cooling_end,Longitude_city,Latitude_city,Climate Code,Longitude_station,Latitude_station,High_station,severe cold_boiler Gas,severe cold_cogeneration,severe cold_Gshp nocooling,cold_Gshp,cold_cogeneration Ptac,cold_boiler Gas Ptac,winter cold_Ptac,winter cold_Ashp,winter warm_Ptac noheating,winter warm_Ashp noheating,severe cold_boiler Gas,severe cold_Gshp nocooling,cold_Gshp,cold_boiler Gas Ptac,winter cold_Ptac,winter cold_Ashp,winter warm_Ptac noheating,winter warm_Ashp noheating
10049,226,cold A,15,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.5225768,37.86497441,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10050,226,cold A,13,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.4845642,37.72116886,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10051,226,cold A,6,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.3645576,37.61306684,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10052,226,cold A,9,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.679409,38.06462082,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10053,226,cold A,5,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,111.8035906,38.07319537,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10054,226,cold A,9,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.1824529,37.91299996,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10055,223,severe cold C,3,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,2,6864,2496,4656,5424,113.1464437,40.26197122,3,113.33,40.1,1067.2,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10056,223,severe cold C,13,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,2,6864,2496,4656,5424,113.3044252,40.08199838,3,113.33,40.1,1067.2,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10057,223,severe cold C,6,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,2,6864,2496,4656,5424,113.1624015,39.99683881,3,113.33,40.1,1067.2,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10058,223,severe cold C,4,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,2,6864,2496,4656,5424,113.618471,40.04622989,3,113.33,40.1,1067.2,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10059,223,severe cold C,6,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,2,6864,2496,4656,5424,113.7554142,40.36739184,3,113.33,40.1,1067.2,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10060,223,severe cold C,4,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,2,6864,2496,4656,5424,114.0974775,40.4264122,3,113.33,40.1,1067.2,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10061,223,severe cold C,8,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,2,6864,2496,4656,5424,114.2885864,39.76600422,3,113.33,40.1,1067.2,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
